,NatID,Name,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Height (m),Weight (kg),Catch Rate,Male (%),Female (%),Egg Group 1,Egg Group 2
0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,0.71,6.9,45,87.5,12.5,Grass  ,  Monster
1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,0.99,13.0,45,87.5,12.5,Grass  ,  Monster
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,2.01,100.0,45,87.5,12.5,Grass  ,  Monster
3,4,Charmander,Fire,None,309,39,52,43,60,50,65,1,0.61,8.5,45,87.5,12.5,Dragon  ,  Monster
4,5,Charmeleon,Fire,None,405,58,64,58,80,65,80,1,1.09,19.0,45,87.5,12.5,Dragon  ,  Monster
5,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,1.7,90.5,45,87.5,12.5,Dragon  ,  Monster
6,7,Squirtle,Water,None,314,44,48,65,50,64,43,1,0.51,9.0,45,87.5,12.5,Monster  ,  Water 1
7,8,Wartortle,Water,None,405,59,63,80,65,80,58,1,0.99,22.5,45,87.5,12.5,Monster  ,  Water 1
8,9,Blastoise,Water,None,530,79,83,100,85,105,78,1,1.6,85.5,45,87.5,12.5,Monster  ,  Water 1
9,10,Caterpie,Bug,None,195,45,30,35,20,20,45,1,0.3,2.9,255,50.0,50.0,Bug, N/A
10,11,Metapod,Bug,None,205,50,20,55,25,25,30,1,0.71,9.9,120,50.0,50.0,Bug, N/A
11,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,1.09,32.0,45,50.0,50.0,Bug, N/A
12,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,0.3,3.2,255,50.0,50.0,Bug, N/A
13,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,0.61,10.0,120,50.0,50.0,Bug, N/A
14,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,0.99,29.5,45,50.0,50.0,Bug, N/A
15,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,0.3,1.8,255,50.0,50.0,Flying, N/A
16,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,1.09,30.0,120,50.0,50.0,Flying, N/A
17,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,1.5,39.5,45,50.0,50.0,Flying, N/A
18,19,Rattata,Normal,None,253,30,56,35,25,35,72,1,0.3,3.5,255,50.0,50.0,Field, N/A
19,20,Raticate,Normal,None,413,55,81,60,50,70,97,1,0.71,18.5,127,50.0,50.0,Field, N/A
20,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,0.3,2.0,255,50.0,50.0,Flying, N/A
21,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,1.19,38.0,90,50.0,50.0,Flying, N/A
22,23,Ekans,Poison,None,288,35,60,44,40,54,55,1,2.01,6.9,255,50.0,50.0,Dragon  ,  Field
23,24,Arbok,Poison,None,448,60,95,69,65,79,80,1,3.51,65.0,90,50.0,50.0,Dragon  ,  Field
24,25,Pikachu,Electric,None,320,35,55,40,50,50,90,1,0.41,6.0,190,50.0,50.0,Fairy  ,  Field
25,26,Raichu,Electric,None,485,60,90,55,90,80,110,1,0.79,30.0,75,50.0,50.0,Fairy  ,  Field
26,27,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,0.61,12.0,255,50.0,50.0,Field, N/A
27,28,Sandslash,Ground,None,450,75,100,110,45,55,65,1,0.99,29.5,90,50.0,50.0,Field, N/A
28,29,Nidoran?,Poison,None,275,55,47,52,40,40,41,1,0.41,7.0,235,0.0,100.0,Field  ,  Monster
29,30,Nidorina,Poison,None,365,70,62,67,55,55,56,1,0.79,20.0,120,0.0,100.0,Undiscovered, N/A
30,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,1.3,60.0,45,0.0,100.0,Undiscovered, N/A
31,32,Nidoran?,Poison,None,273,46,57,40,40,40,50,1,0.51,9.0,235,100.0,0.0,Field  ,  Monster
32,33,Nidorino,Poison,None,365,61,72,57,55,55,65,1,0.89,19.5,120,100.0,0.0,Field  ,  Monster
33,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,1.4,62.0,45,100.0,0.0,Field  ,  Monster
34,35,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,0.61,7.5,150,25.0,75.0,Fairy, N/A
35,36,Clefable,Fairy,None,483,95,70,73,95,90,60,1,1.3,40.0,25,25.0,75.0,Fairy, N/A
36,37,Vulpix,Fire,None,299,38,41,40,50,65,65,1,0.61,9.9,190,25.0,75.0,Field, N/A
37,38,Ninetales,Fire,None,505,73,76,75,81,100,100,1,1.09,19.9,75,25.0,75.0,Field, N/A
38,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,0.51,5.5,170,25.0,75.0,Fairy, N/A
39,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,0.99,12.0,50,25.0,75.0,Fairy, N/A
40,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,0.79,7.5,255,50.0,50.0,Flying, N/A
41,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,1.6,55.0,90,50.0,50.0,Flying, N/A
42,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,0.51,5.4,255,50.0,50.0,Grass, N/A
43,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,0.79,8.6,120,50.0,50.0,Grass, N/A
44,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,1.19,18.6,45,50.0,50.0,Grass, N/A
45,46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,0.3,5.4,190,50.0,50.0,Bug  ,  Grass
46,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,0.99,29.5,75,50.0,50.0,Bug  ,  Grass
47,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,0.99,30.0,190,50.0,50.0,Bug, N/A
48,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,1.5,12.5,75,50.0,50.0,Bug, N/A
49,50,Diglett,Ground,None,265,10,55,25,35,45,95,1,0.2,0.8,255,50.0,50.0,Field, N/A
50,51,Dugtrio,Ground,None,425,35,100,50,50,70,120,1,0.71,33.3,50,50.0,50.0,Field, N/A
51,52,Meowth,Normal,None,290,40,45,35,40,40,90,1,0.41,4.2,255,50.0,50.0,Field, N/A
52,53,Persian,Normal,None,440,65,70,60,65,65,115,1,0.99,32.0,90,50.0,50.0,Field, N/A
53,54,Psyduck,Water,None,320,50,52,48,65,50,55,1,0.79,19.6,190,50.0,50.0,Field  ,  Water 1
54,55,Golduck,Water,None,500,80,82,78,95,80,85,1,1.7,76.6,75,50.0,50.0,Field  ,  Water 1
55,56,Mankey,Fighting,None,305,40,80,35,35,45,70,1,0.51,28.0,190,50.0,50.0,Field, N/A
56,57,Primeape,Fighting,None,455,65,105,60,60,70,95,1,0.99,32.0,75,50.0,50.0,Field, N/A
57,58,Growlithe,Fire,None,350,55,70,45,70,50,60,1,0.71,19.0,190,75.0,25.0,Field, N/A
58,59,Arcanine,Fire,None,555,90,110,80,100,80,95,1,1.91,155.0,75,75.0,25.0,Field, N/A
